judge,model,gt,dataset,prompt_id,rating,pred_length
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_25,4,201
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_26,4,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.333,cnn,cnn_27,4,181
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_28,3,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_29,3,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_30,3,171
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_31,3,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.5,cnn,cnn_32,3,175
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_33,4,221
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_34,3,210
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_35,4,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_36,3,133
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_37,3,212
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_38,3,178
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_39,3,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_40,3,176
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_41,3,216
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_42,3,183
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_43,3,186
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_44,4,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_45,4,175
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_46,4,130
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_47,4,217
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3,cnn,cnn_48,3,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_49,3,176
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_50,3,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_51,3,206
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_52,4,172
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_53,4,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_54,3,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_55,4,167
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_56,3,177
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_57,3,151
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_58,3,221
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_59,4,177
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_60,3,174
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_61,3,199
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_62,4,172
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_63,3,174
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_64,4,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_65,3,221
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_66,4,180
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_67,3,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_68,3,202
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_69,4,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_70,3,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_71,4,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_72,4,205
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_73,4,196
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_74,4,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_75,3,196
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_76,3,209
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_77,3,170
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_78,4,172
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_79,3,239
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_80,3,168
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_81,4,170
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_82,3,184
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.333,cnn,cnn_83,3,199
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_84,3,206
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_85,3,174
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_86,4,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_87,4,163
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_88,3,147
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_89,3,178
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_90,3,194
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.5,cnn,cnn_91,3,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_92,3,161
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_93,3,187
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_94,3,158
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_95,3,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_96,4,178
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_97,4,219
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_98,3,218
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_99,4,135
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_0,3,240
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_1,4,232
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_2,3,195
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.333,xsum,xsum_3,4,148
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_4,4,116
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_5,4,127
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_6,4,96
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_7,3,116
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2.667,xsum,xsum_8,3,113
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_9,3,163
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3,xsum,xsum_10,3,194
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_11,4,155
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_12,3,156
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_13,4,136
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_14,4,235
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_15,3,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_16,4,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_17,4,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_18,3,143
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_19,3,161
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_20,4,129
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_21,3,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_22,4,147
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_23,3,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_24,4,158
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_25,4,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_26,3,126
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_27,4,140
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_28,3,171
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_29,4,162
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_30,4,176
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_31,4,77
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_32,4,128
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.333,xsum,xsum_33,3,174
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_34,3,169
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_35,4,163
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_36,3,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_37,3,180
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_38,4,143
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_39,4,204
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_40,4,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_41,4,177
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_42,4,186
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_43,4,166
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_44,3,239
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_45,3,150
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_46,4,227
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_47,3,118
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_48,4,124
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_49,4,180
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_50,3,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_51,4,146
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_52,3,220
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_53,4,196
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_54,4,199
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_55,4,167
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,xsum,xsum_56,3,145
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.333,xsum,xsum_57,3,125
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_58,4,126
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3,xsum,xsum_59,3,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_60,3,174
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_61,4,80
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_62,4,112
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_63,4,167
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_64,4,194
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_65,4,151
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_66,3,205
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_67,3,133
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_68,3,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_69,4,179
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_70,3,146
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_71,4,135
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_72,4,132
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_73,4,187
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_74,4,180
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_75,3,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_76,4,179
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_77,3,153
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_78,4,164
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_79,3,171
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_80,4,131
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_81,4,127
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_82,3,181
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_83,4,148
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_84,3,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2.333,xsum,xsum_85,3,156
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_86,3,195
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_87,4,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_88,4,169
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_89,4,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3,xsum,xsum_90,4,153
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_91,4,167
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_92,4,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_93,3,147
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_94,4,124
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_95,3,159
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_96,3,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_97,4,179
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,xsum,xsum_98,4,162
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,xsum,xsum_99,3,201
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_0,3,253
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_1,3,153
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_2,3,167
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_3,3,154
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_4,3,113
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_5,3,173
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_6,3,90
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,2.333,cnn,cnn_7,3,158
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_8,3,151
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_9,3,118
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_10,3,153
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_11,3,180
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_12,3,96
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_13,3,125
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_14,3,154
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_15,4,141
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_16,3,230
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_17,3,112
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_18,3,132
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_19,4,159
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_20,4,118
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_21,4,66
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_22,4,156
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_23,4,118
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_24,4,136
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_25,3,109
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_26,3,120
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_27,3,125
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_28,3,149
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_29,3,125
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_30,3,215
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_31,3,167
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_32,3,157
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_33,3,136
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_34,3,214
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_35,3,109
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_36,3,115
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_37,3,155
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_38,3,237
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_39,3,170
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_40,3,167
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_41,3,239
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_42,3,180
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_43,3,152
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_44,3,114
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_45,3,134
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3.667,cnn,cnn_46,4,67
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_47,4,127
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_48,3,120
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,3,cnn,cnn_49,3,176
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_50,3,120
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_51,3,161
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_52,3,113
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_53,3,160
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_54,3,180
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_55,3,79
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_56,3,155
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_57,3,129
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_58,3,175
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_59,4,131
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_60,3,203
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_61,4,135
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_62,3,94
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_63,3,165
meta.llama3-1-70b-instruct-v1:0,meta.llama3-1-70b-instruct-v1:0,4,cnn,cnn_64,3,131
