judge,model,gt,dataset,prompt_id,rating,pred_length
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_119,2,187
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_120,2,223
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_122,2,202
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_124,2,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_125,2,158
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_127,2,220
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_128,2,219
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_129,2,209
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_131,2,186
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_132,2,234
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_133,0,17
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_135,2,66
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_136,2,152
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_143,2,201
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_147,2,146
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_148,2,230
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_149,2,194
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_150,2,160
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_151,2,215
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_152,2,211
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_153,2,96
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_155,2,192
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_161,2,219
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_162,2,85
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_163,2,228
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_164,2,206
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_165,2,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_167,2,242
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_168,0,124
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_169,2,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_170,2,226
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_173,2,194
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_177,0,64
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_178,2,166
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_179,0,43
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_180,2,122
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_181,2,214
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_183,2,203
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_187,0,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_192,2,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_193,2,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_195,2,216
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_198,2,228
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_199,2,198
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_200,2,212
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_202,2,85
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_203,2,204
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_204,2,166
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_205,2,215
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_209,2,218
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_210,2,223
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_211,2,229
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_212,2,175
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_213,2,210
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_214,0,84
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_215,2,213
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_216,2,198
